Souche;tronc;element;sarment;rameau;rang;x;y;z;diam
1;0;1;0;0;0;-0.96;-2.95;3.3;7.09
1;0;2;0;0;0;-0.48;-5.58;11.59;5.865
1;0;3;0;0;0;-0.43;-6.15;21.64;5.966
1;0;4;0;0;0;-1.24;-6.53;26.28;6.035
1;0;5;0;0;0;-0.67;-6.81;30.8;6.291
1;0;6;0;0;0;-0.99;-6.94;34.59;6.828
1;0;7;0;0;0;-1.77;-6.64;39.91;7.745
1;0;8;0;0;0;-3.53;-3.45;46.34;8.736
1;1;1;0;0;0;-11.17;-5.29;52.52;5.745
1;1;1.A.1;0;0;0;-14.71;-6.03;57.35;7.205
1;1;1.A.2;0;0;0;-8.34;-7.63;61.65;4.94
1;1;1.A.2;0;G1;0;-8.06;-3.81;59.13;1.07
1;1;1.A.2;0;G1;1;-7.82;-3.45;58.31;0.87
1;1;1.A.2;0;G1;2;-8.37;0.1;55.4;0.695
1;1;1.A.2;0;G1;3;-9.6;8.59;48.98;0.728
1;1;1.A.2;0;G1;4;-14.07;20.67;41.21;0.665
1;1;1.A.2;0;G1.4_1;1;-17.2;22.53;41.99;0.36
1;1;1.A.2;0;G1.4_1;2;-19.36;24.59;41.97;0.309
1;1;1.A.2;0;G1.4_1;3;-23.95;29.06;42.49;0.335
1;1;1.A.2;1;0;0;-7;-3.08;64.41;3.655
1;1;1.A.2;1;G1;0;-7.75;-4.07;63.27;0.771
1;1;1.A.2;1;G1;1;-10.66;-2.92;65.59;0.605
1;1;1.A.2;1;G1;2;-15.54;-0.96;67.11;0.524
1;1;1.A.2;1;G1;3;-20.95;1.15;72.38;0.503
1;1;1.A.2;1;G1;4;-28.22;2.01;76.97;0.539
1;1;1.A.2;1;G1;5;-32.9;2.32;81.89;0.515
1;1;1.A.2;1;G1;6;-39.1;1.72;88.12;0.418
1;1;1.A.2;1;G1;7;-41.29;2.12;95.57;0.415
1;1;1.A.2;1;G1;8;-44.42;3.76;100.84;0.427
1;1;1.A.2;1;G1;9;-47.4;3.6;107.92;0.436
1;1;1.A.2;1;G1;10;-49.11;4.46;112.61;0.46
1;1;1.A.2;1;G1;11;-50.79;3.56;118.67;0.408
1;1;1.A.2;1;1M;0;-5.14;-4.24;65.67;1.798
1;1;1.A.2;1;1M;1;-3.93;-5.18;67.33;0.932
1;1;1.A.2;1;1M;2;-4.83;-3.32;71;0.785
1;1;1.A.2;1;1M;3;-6.44;-3.97;74.47;0.753
1;1;1.A.2;1;1M;4;-10.21;0.16;76.57;0.659
1;1;1.A.2;1;1M;5;-13.63;6.47;80.76;0.653
1;1;1.A.2;1;1M;6;-18.66;17.46;84.1;0.654
1;1;1.A.2;1;1M;7;-26.13;25.86;86.32;0.563
1;1;1.A.2;1;1M;8;-30.23;31.82;87.85;0.54
1;1;1.A.2;1;1M;9;-34.12;36.12;89.37;0.551
1;1;1.A.2;1;1M;10;-39.64;42.39;90.43;0.517
1;1;1.A.2;1;1M;11;-45.85;45.42;92.84;0.486
1;1;1.A.2;1;1M.2_1;1;-4.1;-2.04;72.8;0.402
1;1;1.A.2;1;1M.2_1;2;-6.06;0.92;80.63;0.278
1;1;1.A.2;1;1M.11_1;1;-46.78;45.5;93.49;0.602
1;1;1.A.2;1;1M.11_1;2;-48.19;46.32;94.84;0.418
1;1;1.A.2;1;1M.11_1;3;-53.6;48.76;98.29;0.314
1;1;1.A.2;1;2M;0;-6.53;-5.84;65.86;1.127
1;1;1.A.2;1;2M;1;-5.71;-6.28;66.86;1.261
1;1;1.A.2;1;2M;2;-2.6;-7.6;69.3;0.919
1;1;1.A.2;1;2M;3;2.44;-8.26;74.85;0.88
1;1;1.A.2;1;2M;4;9.32;-8.34;83.32;0.896
1;1;1.A.2;1;2M;5;16.84;-9.11;95.49;0.892
1;1;1.A.2;1;2M;6;26.63;-11.54;112.98;0.746
1;1;1.A.2;1;2M.5_1;1;12.62;-8.46;101.01;0.631
1;1;1.A.2;1;2M.5_1;2;10.16;-7.79;105.75;0.602
1;1;1.A.2;1;2M.5_1;3;7.14;-6.12;110.65;0.584
1;1;1.A.2;1;2M.5_1;4;4.15;-5.26;116.35;0.578
1;1;1.A.2;1;2M.5_1;5;1.54;-3.12;120.82;0.566
1;1;1.A.2;1;2M.5_1;6;-0.96;-3.39;126.98;0.54
1;1;1.A.2;1;2M.5_1;7;-3.87;-2.72;132.34;0.525
1;1;1.A.2;1;2M.5_1.7_1;1;-3.73;-1.82;133.11;0.414
1;1;1.A.2;1;2M.5_1.7_1;2;-3.99;-1.66;133.36;0.355
1;1;1.A.2;1;2M.5_1.7_1;3;-3.69;-1.45;134.08;0.265
1;1;1.A.2;1;2M.5_1.7_1;4;-4.14;-1.24;135.48;0.258
1;1;1.A.2;1;2M.5_1.7_1;5;-4.36;-0.22;137.02;0.223
1;1;1.A.2;1;2M.5_1.7_1;6;-4.88;0.35;138.3;0.184
1;1;1.A.2;1;2M.5_1.7_1;7;-5;1.62;141.53;0.171
1;1;1.A.2;2;0;0;-4.15;-8.7;58.9;2.056
1;1;1.A.2;2;1;0;-3.83;-8.88;58.54;1.685
1;1;1.A.2;2;1;1;-3.1;-12.21;58.36;1.063
1;1;1.A.2;2;1;2;-4.32;-19.12;60.18;0.955
1;1;1.A.2;2;1;3;-5.51;-29.93;59.77;0.886
1;1;1.A.2;2;1;4;-7.26;-37.66;60.68;0.857
1;1;1.A.2;2;1;5;-8.34;-46.24;59.13;0.857
1;1;1.A.2;2;1;6;-11.03;-55.91;59.7;0.681
1;1;1.A.2;2;1;7;-12.15;-63.14;59.4;0.584
1;1;1.A.2;2;1.3_1;1;-3.57;-31;59.1;0.323
1;1;1.A.2;2;1.3_1;2;-0.5;-33.16;60.72;0.264
1;1;1.A.2;2;1.4_1;1;-7.01;-38.24;61.97;0.404
1;1;1.A.2;2;1.5_1;1;-5.71;-47.54;57.91;0.623
1;1;1.A.2;2;1.5_1;2;-3.87;-50.47;58.93;0.541
1;1;1.A.2;2;1.5_1;3;0.18;-55.01;61.71;0.488
1;1;1.A.2;2;1.5_1;4;4.26;-60.26;66.29;0.479
1;1;1.A.2;2;1.5_1;5;7.29;-62.77;70.02;0.421
1;1;1.A.2;2;1.6_1;1;-11.13;-56.33;60.65;0.225
1;1;1.A.2;2;1.7_1;1;-11.45;-63.89;59.47;0.499
1;1;1.A.2;2;1.7_1;2;-11.32;-66.35;59.5;0.408
1;1;1.A.2;2;2;0;-1.93;-5.03;59.23;1.265
1;1;1.A.2;2;2;1;-1.18;-4.56;59.05;1.003
1;1;1.A.2;2;2;2;-2.12;-1.75;59.13;0.725
