Souche;tronc;element;sarment;rameau;rang;x;y;z;diam
1;0;1;0;0;0;-0.96;-2.95;3.3;7.09
1;0;2;0;0;0;-0.48;-5.58;11.59;5.865
1;0;3;0;0;0;-0.43;-6.15;21.64;5.966
1;0;4;0;0;0;-1.24;-6.53;26.28;6.035
1;0;5;0;0;0;-0.67;-6.81;30.8;6.291
1;0;6;0;0;0;-0.99;-6.94;34.59;6.828
1;0;7;0;0;0;-1.77;-6.64;39.91;7.745
1;0;8;0;0;0;-3.53;-3.45;46.34;8.736
1;1;1;0;0;0;-11.17;-5.29;52.52;5.745
1;1;1.A.1;0;0;0;-14.71;-6.03;57.35;7.205
1;1;1.A.2;0;0;0;-8.34;-7.63;61.65;4.94
1;1;1.A.2;0;G1;0;-8.06;-3.81;59.13;1.07
1;1;1.A.2;0;G1;1;-7.82;-3.45;58.31;0.87
1;1;1.A.2;0;G1;2;-8.37;0.1;55.4;0.695
1;1;1.A.2;0;G1;3;-9.6;8.59;48.98;0.728
1;1;1.A.2;0;G1;4;-14.07;20.67;41.21;0.665
1;1;1.A.2;1;0;0;-7;-3.08;64.41;3.655
1;1;1.A.2;1;G1;0;-7.75;-4.07;63.27;0.771
1;1;1.A.2;1;G1;1;-10.66;-2.92;65.59;0.605
1;1;1.A.2;1;G1;2;-15.54;-0.96;67.11;0.524
1;1;1.A.2;1;G1;3;-20.95;1.15;72.38;0.503
1;1;1.A.2;1;G1;4;-28.22;2.01;76.97;0.539
1;1;1.A.2;1;G1;5;-32.9;2.32;81.89;0.515
1;1;1.A.2;1;G1;6;-39.1;1.72;88.12;0.418
1;1;1.A.2;1;1M;0;-5.14;-4.24;65.67;1.798
1;1;1.A.2;1;1M;1;-3.93;-5.18;67.33;0.932
1;1;1.A.2;1;1M;2;-4.83;-3.32;71;0.785
1;1;1.A.2;1;1M;3;-6.44;-3.97;74.47;0.753
1;1;1.A.2;1;1M;4;-10.21;0.16;76.57;0.659
1;1;1.A.2;1;1M;5;-13.63;6.47;80.76;0.653
1;1;1.A.2;1;1M;6;-18.66;17.46;84.1;0.654
1;1;1.A.2;1;1M;7;-26.13;25.86;86.32;0.563
1;1;1.A.2;1;1M;8;-30.23;31.82;87.85;0.54
1;1;1.A.2;1;1M;9;-34.12;36.12;89.37;0.551
1;1;1.A.2;1;1M;10;-39.64;42.39;90.43;0.517
1;1;1.A.2;1;1M;11;-45.85;45.42;92.84;0.486
1;1;1.A.2;1;2M;0;-6.53;-5.84;65.86;1.127
1;1;1.A.2;1;2M;1;-5.71;-6.28;66.86;1.261
1;1;1.A.2;1;2M;2;-2.6;-7.6;69.3;0.919
1;1;1.A.2;1;2M;3;2.44;-8.26;74.85;0.88
1;1;1.A.2;1;2M;4;9.32;-8.34;83.32;0.896
1;1;1.A.2;1;2M;5;16.84;-9.11;95.49;0.892
1;1;1.A.2;1;2M;6;26.63;-11.54;112.98;0.746
1;1;1.A.2;2;0;0;-4.15;-8.7;58.9;2.056
1;1;1.A.2;2;1;0;-3.83;-8.88;58.54;1.685
1;1;1.A.2;2;1;1;-3.1;-12.21;58.36;1.063
1;1;1.A.2;2;1;2;-4.32;-19.12;60.18;0.955
1;1;1.A.2;2;1;3;-5.51;-29.93;59.77;0.886
1;1;1.A.2;2;1;4;-7.26;-37.66;60.68;0.857
1;1;1.A.2;2;1;5;-8.34;-46.24;59.13;0.857
1;1;1.A.2;2;1;6;-11.03;-55.91;59.7;0.681
1;1;1.A.2;2;1;7;-12.15;-63.14;59.4;0.584
1;1;1.A.2;2;2;0;-1.93;-5.03;59.23;1.265
1;1;1.A.2;2;2;1;-1.18;-4.56;59.05;1.003
1;1;1.A.2;2;2;2;-2.12;-1.75;59.13;0.725
1;1;1.A.2;2;2;3;-3.22;2.42;60.07;0.846
1;1;1.A.2;2;2;4;-7.51;9.45;62.53;0.852
1;1;1.A.2;2;2;5;-12.97;22.68;63.53;0.736
1;1;1.A.2;2;2;6;-16.09;34.07;69.1;0.732
1;1;1.A.3;0;0;0;-11.37;-10.25;61.69;3.136
1;1;1.A.3;1;0;0;-13.51;-10.07;62.11;1.885
1;1;1.A.3;1;1;0;-14.73;-10.18;61.47;1.607
1;1;1.A.3;1;1;1;-15.58;-10.94;62.12;1.423
1;1;1.A.3;1;1;2;-17.45;-11.36;62.96;1.011
1;1;1.A.3;1;1;3;-20.17;-12.35;65.88;0.943
1;1;1.A.3;1;1;4;-24.36;-13.96;69.55;0.916
1;1;1.A.3;1;1;5;-30.36;-18.09;74.13;0.806
1;1;1.A.3;1;1;6;-40.09;-24.94;79.87;0.75
1;1;1.A.3;1;2;0;-14.4;-11.34;65.03;1.8
1;1;1.A.3;1;2;1;-14.78;-12.42;67.46;1.234
1;1;1.A.3;1;2;2;-16.45;-15.15;68.33;1.059
1;1;1.A.3;1;2;3;-18.47;-19.15;71.17;1.015
1;1;1.A.3;1;2;4;-22.32;-27.77;72.88;0.967
1;1;1.A.3;1;2;5;-23.55;-36.67;72.73;0.884
1;1;1.A.3;1;2;6;-25.76;-46.13;72.26;0.826
1;1;1.A.3;1;2;7;-26.25;-58.86;69.78;0.79
1;1;2;0;0;0;-23.72;-3.51;56.51;5.012
1;1;2.A;0;0;0;-27.36;-8.76;59.12;4.371
1;1;2.A.1M;0;0;0;-25.03;-9.06;62.46;3.624
1;1;2.A.1M;1;0;0;-23.76;-7;62.1;1.426
1;1;2.A.1M;1;1;0;-23.29;-5.62;63.8;1.167
1;1;2.A.1M;1;1;1;-24.54;-4.56;64.45;0.952
1;1;2.A.1M;1;1;2;-24.75;-2.81;66.52;0.751
1;1;2.A.1M;1;1;3;-24.02;-1.56;71.16;0.692
1;1;2.A.1M;1;1;4;-23.16;-0.1;77.39;0.692
1;1;2.A.1M;1;1;5;-23.57;1.04;84.48;0.712
1;1;2.A.1M;1;1;6;-22.82;3.1;95.82;0.637
1;1;2.A.1M;1;1;7;-23.15;3.41;105.39;0.581
1;1;2.A.1M;1;1;8;-23.04;5.03;113;0.526
1;1;2.A.2M;0;0;0;-31.96;-8.63;60.73;2.734
1;1;2.A.2M;1;0;0;-31.96;-8.63;61;2.734
1;1;2.A.2M;1;1;0;-31.56;-7.17;64.16;1.4
1;1;2.A.2M;1;1;1;-30.91;-7.09;64.61;1.197
1;1;2.A.2M;1;1;2;-30.45;-7.12;68.56;0.989
1;1;2.A.2M;1;1;3;-28.21;-14.73;77.42;0.952
1;1;2.A.2M;1;1;4;-27.82;-22.89;82.77;0.852
1;1;2.A.2M;1;1;5;-28.48;-35.86;86.98;0.81
1;1;2.A.2M;1;1;6;-28.09;-50.23;93.47;0.639
