Plant_Nb;Tronc;Elmnt;Sar;Rameau;Row;X;Y;Z
1;BASE;0;0;0;0;0;0;0
1;0;1;0;0;0;-2.96;0.29;11.65
1;0;2;0;0;0;-2.41;0.64;11.95
1;0;3;0;0;0;-0.75;1.97;14.65
1;0;4;0;0;0;1.85;0.82;22.74
1;0;5;0;0;0;4.65;-1.6;28.55
1;0;6;0;0;0;6.46;-2.72;35.14
1;0;7;0;0;0;7.82;-3.43;39.35
1;0;8;0;0;0;9.22;-3.23;44.32
1;0;9;0;0;0;12.13;-3.5;49.93
1;0;10;0;0;0;13.58;-2.3;54.26
1;0;11;0;0;0;15.44;-2.08;59.35
1;0;12;0;0;0;17.09;-1.33;65.25
1;0;13;0;0;0;18.96;-1;71.59
1;0;14;0;0;0;19.28;-0.07;75.54
1;0;15;0;0;0;18.43;0.38;80.55
1;0;16;0;0;0;18.8;-0.68;88.07
1;0;17;0;0;0;19.97;0.44;93.93
1;0;18;0;0;0;22.05;-1.17;101.87
1;0;19;0;0;0;23.45;-1.54;107.67
1;0;20;0;0;0;25.98;-2.21;113.08
1;0;21;0;0;0;30.27;-2.07;119.05
1;0;22;0;0;0;34;-2.87;124.06
1;0;23;0;0;0;34.76;-4.82;127.64
1;0;24;0;0;0;35.36;-6.29;132
1;0;25;0;0;0;37.16;-8.65;140.14
1;0;26;0;0;0;38.64;-12.09;149.39
1;1;1;0;0;0;44.32;-9.91;155.66
1;1;2;0;0;0;45.98;-7.92;159.11
1;1;3;0;0;0;45.48;-5.91;161.84
1;1;4;0;0;0;45.55;0.18;166.58
1;1;4;1;0;0;45;0.18;165
1;1;4;1;1;0;46.9;0.25;166.65
1;1;4;1;1;1;47.02;-0.6;166.36
1;1;4;1;1;2;49.44;-0.83;167.37
1;1;4;1;1;3;52.36;-0.48;169.92
1;1;4;1;1;4;54.93;0.1;173.57
1;1;4;1;1;5;58.08;0.21;176.53
1;1;4;1;1;6;59.84;1.6;179.84
1;1;4;1;1;7;63.05;1.69;182.66
1;1;4;1;1;8;65.58;2.64;185.86
1;1;4;1;1;9;68.16;1.69;189.48
1;1;4;1;1;10;70.83;1.96;192.85
1;1;4;1;1;11;73.9;0.92;196.26
1;1;4;1;1;12;76.75;1.19;198.62
1;1;4;1;1;13;78.77;0.37;200.55
1;1;4;1;1;14;82.43;0.41;203.83
1;1;5;0;0;0;45.42;6.25;169.14
1;1;6;0;0;0;45.09;14.28;169.32
1;1;7;0;0;0;44.17;24.65;167.2
1;1;8;0;0;0;45.1;32.76;164.29
1;1;9;0;0;0;43.71;37.79;159.15
1;1;10;0;0;0;48.03;43.29;155.46
1;1;10.a;0;0;0;44.14;50.1;154.94
1;1;10.a;1;0;0;42.92;50.46;154.86
1;1;10.a;1;1;0;43.24;50.43;153.03
1;1;10.a;1;1;1;43.92;51.06;153.15
1;1;10.a;1;1;2;44.28;52.93;155.33
1;1;10.a;1;1;3;44.06;56.13;160.6
1;1;10.a;1;1;4;45.23;57.33;167.73
1;1;10.a;1;1;5;45.43;59.44;172.92
1;1;10.a;1;1;6;46.42;60.28;177.54
1;1;10.a;1;1;7;47.25;62.98;181.21
1;1;10.a;1;1;8;48.93;63.4;187.56
1;1;10.a;1;1;9;50.9;66.78;192.71
1;1;10.a;1;1;10;54.54;66.93;197.33
1;1;10.a;1;2;0;41.62;52.26;153.16
1;1;10.a;1;2;1;40.84;52.63;153.19
1;1;10.a;1;2;2;39.46;52.85;153.92
1;1;10.a;1;2;3;35.97;54.14;155.77
1;1;10.a;1;2;4;31.35;57.35;158.31
1;1;10.a;1;2;5;25.12;63.86;159.78
1;1;10.a;1;2;6;16.52;72.81;159.96
1;1;10.a;1;2;7;9.47;83.82;157.22
1;1;10.a;1;2;8;4.1;93.07;156.24
1;1;10.a;1;2;9;-0.78;104.34;151.78
1;1;10.a;1;2;10;-5.2;112.55;148.64
1;1;10.a;1;2;11;-7.36;119.33;141.59
1;1;10.a;1;2;12;-10.96;127.69;134.18
1;1;10.a;1;2;13;-12;132.43;127.46
1;1;10.a;1;2;14;-14.24;136.55;123.67
1;1;10.a;1;2;15;-16.11;142.32;118.04
1;1;10.a;1;2;16;-19.46;147.38;115.26
1;1;10.a;1;2.4_1;1;32.09;58.17;161.3
1;1;10.a;1;2.4_1;2;30.68;65.85;158.08
1;1;10.a;1;2.5_1;1;15.8;75;164.3
1;1;10.a;1;2.5_1;2;13.29;73.77;166.35
1;1;10.a;1;2.6_1;1;15.6;74.83;164.25
1;1;10.a;1;2.6_1;2;13.01;74.08;166.47
1;1;10.a;1;2.8_1;1;4.66;94.27;162.66
1;1;10.a;1;2.10_1;1;-4.5;113.59;152.64
1;1;10.a;1;2.10_1;2;-4.94;112.88;154.53
1;1;11;0;0;0;51.46;45.21;155.15
1;1;12;0;0;0;56.24;45.29;152.77
1;1;12.a;0;0;0;55.16;56.2;148.66
1;1;12.a;1;0;0;54.05;57.37;150.71
1;1;12.a;1;1;0;53.02;57.64;152.2
1;1;12.a;1;1;1;52.85;59.46;154.43
1;1;12.a;1;1;2;53.11;61.29;157.88
1;1;12.a;1;1;3;54.32;63.78;163.11
1;1;12.a;1;1;4;56.97;67.46;168.45
1;1;12.a;1;1;5;60.87;70.22;173.17
1;1;12.a;1;1;6;64.03;70.33;174.42
1;1;12.a;1;1;7;68.25;71.71;174.99
1;1;12.a;1;2m;0;52.94;55.05;154.25
1;1;12.a;1;2m;1;53.34;54.9;154.85
1;1;12.a;1;2m;2;53.29;54.91;157.17
1;1;12.a;1;2m;3;53.62;54.85;160.27
1;1;12.a;1;2m;4;53.13;55.96;167.17
1;1;12.a;1;2m;5;53.43;56.59;176.47
1;1;12.a;1;2m;6;51.61;59.33;184.77
1;1;12.a;1;2m;7;48.87;59.89;190.12
1;1;12.a;1;3m;0;53.83;54.11;153.88
1;1;12.a;1;3m;1;53.39;51.8;154.82
1;1;12.a;1;3m;2;51.78;46.83;156.89
1;1;12.a;1;3m;3;51.52;40.53;158.71
1;1;12.a;1;3m;4;51.03;33.06;160.35
1;1;12.a;1;3m;5;51.49;28;161.14
1;1;12.a;1;3m;6;51.77;25.3;161
1;1;12.a;1;3m;7;50.89;20.53;163.55
1;1;12.a;1;3m;9;49.19;13.74;169.55
1;1;12.a;1;4;0;52.65;47.09;156.97
1;1;12.a;1;4;1;54.98;47.18;157.31
1;1;12.a;1;4;2;59.02;46.59;158.99
1;1;12.a;1;4;3;65.28;45.73;162.01
1;1;12.a;1;4;4;73.66;41.98;165.42
1;1;12.a;1;4;5;83.7;36.53;169.91
1;1;12.a;1;4;6;93.31;29.37;171.8
1;1;12.a;1;4;7;102.12;24.75;174.31
1;1;12.a;1;4.4_1;1;72.79;39.25;166.27
1;1;12.a;1;4.4_1;2;71.44;37.66;169.77
1;1;12.a;1;4.4_1;3;70.72;40.51;174.42
1;1;12.a;1;4.6_1;1;92.74;25.8;172.37
1;1;12.a;1;4.6_1;2;91.97;22.6;175.25
1;1;12.a;1;4.6_1;3;93;18.74;179.21
1;1;12.a;1;4.7_1;1;101.89;25.86;179.51
1;1;12.a;1;4.7_1;2;102.41;26.55;184.6
1;1;12.a;1;4.7_1;3;103.31;27.11;190.22
1;1;13;0;0;0;58.28;40.63;153.55
1;1;14;0;0;0;62.94;41.87;151.52
1;1;14.a;0;0;0;62.44;41.56;155.53
1;1;14.a;1;0;0;62.95;43.21;156.24
1;1;14.a;1;1;0;63.28;46.76;156.58
1;1;14.a;1;1;1;62.63;48.28;156.1
1;1;14.a;1;1;2;62.18;51.28;157.58
1;1;14.a;1;1;3;62.7;54.84;158.21
1;1;14.a;1;1;4;66.21;61.71;158.36
1;1;14.a;1;1;5;70.35;69.98;159.08
1;1;14.a;1;1;6;77.53;81.62;154.57
1;1;14.a;1;1;7;83.9;90.1;148.4
1;1;15;0;0;0;66.04;42.76;151.4
1;1;15.a;0;0;0;70.27;44.71;149.78
1;1;15.a;1;0;0;66.72;44.44;147.09
1;1;15.a;1;1;0;66.48;44.73;147.93
1;1;15.a;1;1;1;65.89;43.88;148.43
1;1;15.a;1;1;2;63.8;42.9;147.71
1;1;15.a;1;1;3;59.78;42.81;147.8
1;1;15.a;1;1;4;51.82;41.54;148.7
1;1;15.a;1;1;5;45.4;40.42;152.27
1;1;15.a;1;1;6;35.78;42.11;155.68
1;1;15.a;1;1;7;33.26;34.8;148.72
1;1;15.a;1;2;0;65.71;48.3;149.83
1;1;15.a;1;2;1;65.89;49.93;150.03
1;1;15.a;1;2;2;65.86;53.4;151.4
1;1;15.a;1;2;3;65.15;58.86;152.67
1;1;15.a;1;2;4;66.68;67.66;155.42
1;1;15.a;1;2;5;71.43;79.63;157.42
1;1;15.a;1;2;6;80.62;89.22;156.4
1;1;15.a;1;2;7;87.54;97.55;156.02
1;1;15.a;1;2.5_1;1;70.52;80.57;161.58
1;1;16;0;0;0;69.59;42.86;153.13
1;1;17;0;0;0;75.99;42.25;153.79
1;1;18;0;0;0;84.34;40.51;155.75
1;1;18.a;0;0;0;85.17;41.83;157.81
1;1;18.a;1;0;0;85.47;43.56;155.77
1;1;18.a;1;1;0;86.21;45.12;155.79
1;1;18.a;1;1;1;87.3;45.87;155.6
1;1;18.a;1;1;2;87.54;47.74;156.71
1;1;18.a;1;1;3;89.5;50.53;158.74
1;1;18.a;1;1;4;90.7;55.61;164.38
1;1;18.a;1;1;5;94.16;62.84;170.28
1;1;18.a;1;1;6;95.89;74.1;177.68
1;1;18.a;1;1;7;98.37;81.14;181.14
1;1;18.a;1;1.6_1;1;93.18;74.71;179.39
1;1;18.a;1;1.6_1;2;90.47;76.42;184.03
1;1;18.a;1;1.6_1;3;86.72;76.07;191.05
1;1;18.a;1;1.6_1;4;85.32;76.84;195.69
1;1;18.a;1;1.6_1;5;83.63;76.69;199.37
1;1;18.a;1;1.6_1;6;82.92;77.59;203.56
1;1;18.a;1;1.6_1;7;81.56;77.34;206.99
1;1;18.a;1;1.6_1;8;81.15;78.97;210.33
1;1;18.a;1;1.6_1;9;80.2;78.07;214.21
1;1;18.a;1;1.6_1;10;78.86;75.09;215.39
1;1;18.a;1;1.6_1.4_1;1;88.63;79.34;200.12
1;1;18.a;1;1.6_1.6_1;1;84.38;78.76;207.95
1;1;18.a;1;1.6_1.7_1;1;80.18;75.18;208.62
1;1;18.a;1;2;0;88.82;44.97;155.6
1;1;18.a;1;2;1;90.31;44.55;155.98
1;1;18.a;1;2;2;92.34;43.89;158.08
1;1;18.a;1;2;3;96.71;42.35;161.93
1;1;18.a;1;2;4;101.74;38.61;166.99
1;1;18.a;1;2;5;108.67;34.4;172.89
1;1;18.a;1;2;6;118.21;24.19;179.05
1;1;18.a;1;2;7;126.98;17.36;181.84
1;1;18.a;1;2.6_1;1;117.33;23.88;182.04
1;1;19;0;0;0;95.92;35.45;155.89
1;1;19.a;0;0;0;98.88;36.52;151.8
1;1;19.a;1;0;0;100.61;38.56;154.63
1;1;19.a;1;1;0;101.89;38.69;156.78
1;1;19.a;1;1;1;102.63;39.93;156.95
1;1;19.a;1;1;2;104.38;40.62;158.25
1;1;19.a;1;1;3;107.79;41.41;162.26
1;1;19.a;1;1;4;114.33;41.01;167.74
1;1;19.a;1;1;5;124.26;39.39;174.22
1;1;19.a;1;1;6;135.59;36.16;180.9
1;1;19.a;1;1;7;144.75;34.57;187.94
1;1;19.a;1;1.4_1;1;115.24;38.72;167.52
1;1;19.a;1;1.4_1;2;114.62;33.89;166.93
1;1;19.a;1;1.4_1;3;110.92;29.48;163.88
1;1;19.a;1;1.5_1;1;123.79;35.04;177.76
1;1;19.a;1;1.6_1;1;134.12;34.12;182.33
1;1;19.a;1;1.6_1;2;131.36;33.33;185.57
