Souche;Tronc;Element;Sarement;Rameau;Rang;x;y;z
2;0;1;0;0;0;1;1;5
2;0;2;0;0;0;1;1;10
2;0;3;0;0;0;-1;0;25
2;0;4;0;0;0;0;0;35
2;0;5;0;0;0;-5;-1;45
2;0;6;0;0;0;-10;0;60
2;0;7;0;0;0;-15;0;65
2;1;1;0;0;0;-14;8;66
2;1;2;0;0;0;-12;15;67
2;1;3;0;0;0;-8;20;69
2;1;4;0;0;0;-6;24;71
2;1;5;0;0;0;-4.08;31.14;72.33
2;1;5;0;g1;0;-4.08;31.14;72.33
2;1;5;0;g1;1;-3.68;31.71;72.6
2;1;6;0;0;0;8;30;60
2;1;6.a;0;0;0;10;31;65
2;1;6.a;1;0;0;11;32.02;67.8546
2;1;6.a;1;1;0;11;32.02;68.54
2;1;6.a;1;1;1;10.57;31.75;68.25
2;1;6.a;1;1;2;9.78;31.84;68.21
2;1;6.a;1;1;3;7.36;32;68.7
2;1;6.a;1;1;4;5.34;32.39;71.09
2;1;6.a;1;1;5;1.79;32.83;73.88
2;1;6.a;1;1;6;-0.62;33.83;76.84
2;1;6.a;1;1;7;-4.09;34.17;80.55
2;1;6.a;1;2;0;13.36;35.2;73.14
2;1;6.a;1;2;1;13.55;35.03;73.36
2;1;6.a;1;2;2;14.91;34.09;74.64
2;1;6.a;1;2;3;15.49;31.86;79.78
2;1;6.a;2.1;0;0;9.71;34.48;72.2799
2;1;6.a;2.1;1M;0;9.71;34.48;73.01
2;1;6.a;2.1;1M;1;9.43;34.81;73.26
2;1;6.a;2.1;1M;2;9.49;35.24;74.02
2;1;6.a;2.1;1M;3;10.64;35.98;77.18
2;1;6.a;2.1;1M;4;11.9;35.86;81.56
2;1;6.a;2.1;2M;0;10.91;36.06;72.98
2;1;6.a;2.1;2M;1;11.25;36.62;72.86
2;1;6.a;2.1;2M;2;11.56;37.17;73.01
2;1;6.a;2.1;2M;3;12.42;38.29;74.16
2;1;6.a;2.1;2M;4;13.95;39.35;78.14
2;1;6.a;2.1;2M;5;16.05;40.46;83.04
2;1;6.a;2.1;2M;6;15.93;40.72;90.59
2;1;6.a;2.1;2M;7;16.67;41.24;98.16
2;1;6.a;2.2;0;0;8.46;33.82;75.0123
2;1;6.a;2.2;1;0;8.46;33.82;75.77
2;1;6.a;2.2;1;1;8.45;33.36;75.57
2;1;6.a;2.2;1;2;8.28;33.23;76.37
2;1;6.a;2.2;1;3;8.17;32.7;78.44
2;1;6.a;2.2;1;4;8.46;32.43;81.7
2;1;6.a;2.2;1;5;7.97;31.5;86.26
2;1;6.a;2.2;1;6;6.91;32.26;91.98
2;1;6.a;2.2;1;7;4.34;33.44;100.21
2;1;6.b;0;0;0;14.6;35.7;87.4467
2;1;6.b;0;g1;0;14.6;35.7;88.33
2;1;6.b;0;g1;1;16.33;34.52;93.97
2;1;6.b;0;g1;2;19.02;34.76;99.62
2;1;6.b;0;g1;3;19.6;34.95;106.86
2;1;7;0;0;0;26;32;57
2;1;7.a;0;0;0;28;32;60
2;1;7.a;1;0;0;29.43;32.47;61.8354
2;1;7.a;1;1;0;29.43;32.47;62.46
2;1;7.a;1;1;1;29.75;32.39;62.27
2;1;7.a;1;1;2;30.12;32.49;62.26
2;1;7.a;1;1;3;32.55;33.46;63.24
2;1;7.a;1;1;4;38.1;35.36;66.22
2;1;7.a;1;1;5;43.67;38.16;72.37
2;1;7.a;1;1;6;50.2;40.23;81.04
2;1;7.a;1;1;7;55.22;43.26;89.43
2;1;7.a;2;0;0;28.37;31.29;67.7853
2;1;7.a;2;1;0;28.37;31.29;68.47
2;1;7.a;2;1;1;28.63;30.9;68.68
2;1;7.a;2;1;2;28.86;30.44;69.04
2;1;7.a;2;1;3;28.26;29.97;71.54
2;1;7.a;2;1;4;27.76;29.77;75.52
2;1;7.a;2;1;5;25.88;30.04;80.69
2;1;7.a;2;1;6;23.43;30.51;88.76
2;1;7.a;2;1;7;16.59;31.85;97.75
2;1;7.a;2;2;0;25.44;33.48;70.16
2;1;7.a;2;2;1;25.13;33.79;70.26
2;1;7.a;2;2;2;24.98;34.13;70.44
2;1;7.a;2;2;3;23.8;35.06;71.52
2;1;7.a;2;2;4;22.74;36.2;74.63
2;1;7.a;2;2;5;19.78;38.05;80.57
2;1;7.a;2;2;6;19.62;40.76;88.03
2;1;7.a;2;2;7;18.67;43.24;94.7
2;1;8;0;0;0;45;33;62
2;1;8.a;0;0;0;50;33;65
2;1;8.a;1.1;0;0;52.4;33.46;69.8544
2;1;8.a;1.1;1;0;52.4;33.46;70.56
2;1;8.a;1.1;1;1;52.25;33.4;70.39
2;1;8.a;1.1;1;2;51.84;33.63;70.68
2;1;8.a;1.1;1;3;50.72;34.69;71.23
2;1;8.a;1.1;1;4;49.13;36.27;75.16
2;1;8.a;1.1;1;5;46.8;38.93;81.3
2;1;8.a;1.1;1;6;43.98;39.39;91.24
